id	P1	P2
11	0.016813695	0.026049253
12	0.038009129	0.04206246
13	0.028715914	0.040364644
14	0.036878673	0.069546177
15	0.024345631	0.027310738
21	0.017448095	0.034991603
22	0.014966111	0.015757459
23	0.013714628	0.023319361
24	0.026589883	0.033606859
31	0.044348164	0.102939562
32	0.03862804	0.068353397
33	0.048414816	0.080717333
34	0.021346404	0.074956727
35	0.025459528	0.051070471
41	0.015990827	0.046033359
42	0.046883707	0.062195416
51	0.015612599	0.026052848
52	0.025808562	0.039659485
53	0.012078531	0.017156904
54	0.030036774	0.059960496
